example_id                                                    | status | run_time        |
------------------------------------------------------------- | ------ | --------------- |
./spec/models/organization/organization_spec.rb[1:1:1]        | passed | 0.17608 seconds |
./spec/models/organization/organization_spec.rb[1:1:2]        | passed | 0.02511 seconds |
./spec/models/organization/organization_spec.rb[1:1:3]        | passed | 0.00848 seconds |
./spec/models/organization/organization_spec.rb[1:1:4]        | passed | 0.00657 seconds |
./spec/models/organization/organization_spec.rb[1:2:1]        | passed | 0.00512 seconds |
./spec/models/organization/organization_spec.rb[1:3:1]        | passed | 0.02638 seconds |
./spec/models/organization/staff_spec.rb[1:1:1]               | passed | 0.01496 seconds |
./spec/models/organization/staff_spec.rb[1:1:2]               | passed | 0.00089 seconds |
./spec/models/organization/staff_spec.rb[1:2:1]               | passed | 0.00079 seconds |
./spec/models/phase/base_spec.rb[1:1:1]                       | failed | 0.00075 seconds |
./spec/models/phase/base_spec.rb[1:2:1]                       | passed | 0.01334 seconds |
./spec/models/phase/base_spec.rb[1:3:1]                       | passed | 0.00115 seconds |
./spec/models/phase/single_elimination_bracket_spec.rb[1:1:1] | passed | 0.00054 seconds |
./spec/models/phase/single_elimination_bracket_spec.rb[1:2:1] | passed | 0.00107 seconds |
./spec/models/phase/single_elimination_bracket_spec.rb[1:3:1] | passed | 0.00241 seconds |
./spec/models/phase/single_elimination_bracket_spec.rb[1:4:1] | passed | 0.00376 seconds |
./spec/models/phase/swiss_spec.rb[1:1:1]                      | passed | 0.0007 seconds  |
./spec/models/phase/swiss_spec.rb[1:2:1]                      | passed | 0.01433 seconds |
./spec/models/phase/swiss_spec.rb[1:3:1]                      | passed | 0.18087 seconds |
